year,period,periodName,value,footnotes
2003,M01,January,181.7,[{}]
2003,M12,December,184.3,[{}]
2003,M06,June,183.7,[{}]
2003,M02,February,183.1,[{}]
2003,M05,May,183.5,[{}]
2003,M09,September,185.2,[{}]
2003,M03,March,184.2,[{}]
2003,M08,August,184.6,[{}]
2003,M10,October,185.0,[{}]
2003,M11,November,184.5,[{}]
2003,M07,July,183.9,[{}]
2003,M04,April,183.8,[{}]
2004,M10,October,190.9,[{}]
2004,M08,August,189.5,[{}]
2004,M09,September,189.9,[{}]
2004,M01,January,185.2,[{}]
2004,M11,November,191.0,[{}]
2004,M02,February,186.2,[{}]
2004,M12,December,190.3,[{}]
2004,M05,May,189.1,[{}]
2004,M03,March,187.4,[{}]
2004,M07,July,189.4,[{}]
2004,M06,June,189.7,[{}]
2004,M04,April,188.0,[{}]
2005,M08,August,196.4,[{}]
2005,M06,June,194.5,[{}]
2005,M07,July,195.4,[{}]
2005,M12,December,196.8,[{}]
2005,M10,October,199.2,[{}]
2005,M11,November,197.6,[{}]
2005,M09,September,198.8,[{}]
2005,M03,March,193.3,[{}]
2005,M01,January,190.7,[{}]
2005,M05,May,194.4,[{}]
2005,M04,April,194.6,[{}]
2005,M02,February,191.8,[{}]
2006,M02,February,198.7,[{}]
2006,M06,June,202.9,[{}]
2006,M01,January,198.3,[{}]
2006,M03,March,199.8,[{}]
2006,M04,April,201.5,[{}]
2006,M07,July,203.5,[{}]
2006,M11,November,201.5,[{}]
2006,M05,May,202.5,[{}]
2006,M10,October,201.8,[{}]
2006,M09,September,202.9,[{}]
2006,M08,August,203.9,[{}]
2006,M12,December,201.8,[{}]
2007,M11,November,210.177,[{}]
2007,M02,February,203.499,[{}]
2007,M12,December,210.036,[{}]
2007,M04,April,206.686,[{}]
2007,M03,March,205.352,[{}]
2007,M01,January,202.416,[{}]
2007,M05,May,207.949,[{}]
2007,M09,September,208.49,[{}]
2007,M07,July,208.299,[{}]
2007,M06,June,208.352,[{}]
2007,M10,October,208.936,[{}]
2007,M08,August,207.917,[{}]
2008,M06,June,218.815,[{}]
2008,M03,March,213.528,[{}]
2008,M04,April,214.823,[{}]
2008,M05,May,216.632,[{}]
2008,M01,January,211.08,[{}]
2008,M09,September,218.783,[{}]
2008,M08,August,219.086,[{}]
2008,M10,October,216.573,[{}]
2008,M11,November,212.425,[{}]
2008,M12,December,210.228,[{}]
2008,M02,February,211.693,[{}]
2008,M07,July,219.964,[{}]
2009,M01,January,211.143,[{}]
2009,M02,February,212.193,[{}]
2009,M03,March,212.709,[{}]
2009,M04,April,213.24,[{}]
2009,M12,December,215.949,[{}]
2009,M05,May,213.856,[{}]
2009,M08,August,215.834,[{}]
2009,M09,September,215.969,[{}]
2009,M10,October,216.177,[{}]
2009,M07,July,215.351,[{}]
2009,M11,November,216.33,[{}]
2009,M06,June,215.693,[{}]
2010,M03,March,217.631,[{}]
2010,M12,December,219.179,[{}]
2010,M01,January,216.687,[{}]
2010,M05,May,218.178,[{}]
2010,M04,April,218.009,[{}]
2010,M02,February,216.741,[{}]
2010,M06,June,217.965,[{}]
2010,M07,July,218.011,[{}]
2010,M08,August,218.312,[{}]
2010,M10,October,218.711,[{}]
2010,M11,November,218.803,[{}]
2010,M09,September,218.439,[{}]
2011,M09,September,226.889,[{}]
2011,M05,May,225.964,[{}]
2011,M12,December,225.672,[{}]
2011,M11,November,226.23,[{}]
2011,M10,October,226.421,[{}]
2011,M08,August,226.545,[{}]
2011,M07,July,225.922,[{}]
2011,M03,March,223.467,[{}]
2011,M02,February,221.309,[{}]
2011,M01,January,220.223,[{}]
2011,M06,June,225.722,[{}]
2011,M04,April,224.906,[{}]
2012,M05,May,229.815,[{}]
2012,M06,June,229.478,[{}]
2012,M03,March,229.392,[{}]
2012,M04,April,230.085,[{}]
2012,M01,January,226.665,[{}]
2012,M07,July,229.104,[{}]
2012,M09,September,231.407,[{}]
2012,M11,November,230.221,[{}]
2012,M02,February,227.663,[{}]
2012,M12,December,229.601,[{}]
2012,M10,October,231.317,[{}]
2012,M08,August,230.379,[{}]
2013,M02,February,232.166,[{}]
2013,M01,January,230.28,[{}]
2013,M03,March,232.773,[{}]
2013,M11,November,233.069,[{}]
2013,M10,October,233.546,[{}]
2013,M09,September,234.149,[{}]
2013,M08,August,233.877,[{}]
2013,M07,July,233.596,[{}]
2013,M06,June,233.504,[{}]
2013,M05,May,232.945,[{}]
2013,M04,April,232.531,[{}]
2013,M12,December,233.049,[{}]
2014,M11,November,236.151,[{}]
2014,M10,October,237.433,[{}]
2014,M09,September,238.031,[{}]
2014,M07,July,238.25,[{}]
2014,M06,June,238.343,[{}]
2014,M12,December,234.812,[{}]
2014,M04,April,237.072,[{}]
2014,M03,March,236.293,[{}]
2014,M02,February,234.781,[{}]
2014,M01,January,233.916,[{}]
2014,M08,August,237.852,[{}]
2014,M05,May,237.9,[{}]
2015,M01,January,233.707,[{}]
2015,M02,February,234.722,[{}]
2015,M03,March,236.119,[{}]
2015,M04,April,236.599,[{}]
2015,M07,July,238.654,[{}]
2015,M05,May,237.805,[{}]
2015,M12,December,236.525,[{}]
2015,M08,August,238.316,[{}]
2015,M11,November,237.336,[{}]
2015,M10,October,237.838,[{}]
2015,M09,September,237.945,[{}]
2015,M06,June,238.638,[{}]
2016,M11,November,241.353,[{}]
2016,M12,December,241.432,[{}]
2016,M04,April,239.261,[{}]
2016,M01,January,236.916,[{}]
2016,M02,February,237.111,[{}]
2016,M03,March,238.132,[{}]
2016,M06,June,241.018,[{}]
2016,M09,September,241.428,[{}]
2016,M10,October,241.729,[{}]
2016,M05,May,240.229,[{}]
2016,M07,July,240.628,[{}]
2016,M08,August,240.849,[{}]
2017,M12,December,246.524,[{}]
2017,M02,February,243.603,[{}]
2017,M04,April,244.524,[{}]
2017,M01,January,242.839,[{}]
2017,M03,March,243.801,[{}]
2017,M11,November,246.669,[{}]
2017,M05,May,244.733,[{}]
2017,M07,July,244.786,[{}]
2017,M06,June,244.955,[{}]
2017,M08,August,245.519,[{}]
2017,M09,September,246.819,[{}]
2017,M10,October,246.663,[{}]
2018,M03,March,249.554,[{}]
2018,M04,April,250.546,[{}]
2018,M05,May,251.588,[{}]
2018,M01,January,247.867,[{}]
2018,M08,August,252.146,[{}]
2018,M07,July,252.006,[{}]
2018,M10,October,252.885,[{}]
2018,M11,November,252.038,[{}]
2018,M12,December,251.233,[{}]
2018,M02,February,248.991,[{}]
2018,M06,June,251.989,[{}]
2018,M09,September,252.439,[{}]
2019,M03,March,254.202,[{}]
2019,M05,May,256.092,[{}]
2019,M01,January,251.712,[{}]
2019,M02,February,252.776,[{}]
2019,M04,April,255.548,[{}]
2019,M07,July,256.571,[{}]
2019,M08,August,256.558,[{}]
2019,M11,November,257.208,[{}]
2019,M12,December,256.974,[{}]
2019,M06,June,256.143,[{}]
2019,M09,September,256.759,[{}]
2019,M10,October,257.346,[{}]
2020,M03,March,258.115,[{}]
2020,M04,April,256.389,[{}]
2020,M01,January,257.971,[{}]
2020,M06,June,257.797,[{}]
2020,M05,May,256.394,[{}]
2020,M02,February,258.678,[{}]
2020,M12,December,260.474,[{}]
2020,M09,September,260.28,[{}]
2020,M11,November,260.229,[{}]
2020,M07,July,259.101,[{}]
2020,M08,August,259.918,[{}]
2020,M10,October,260.388,[{}]
2021,M02,February,263.014,[{}]
2021,M05,May,269.195,[{}]
2021,M03,March,264.877,[{}]
2021,M04,April,267.054,[{}]
2021,M09,September,274.31,[{}]
2021,M01,January,261.582,[{}]
2021,M07,July,273.003,[{}]
2021,M08,August,273.567,[{}]
2021,M10,October,276.589,[{}]
2021,M12,December,278.802,[{}]
2021,M06,June,271.696,[{}]
2021,M11,November,277.948,[{}]
2022,M09,September,296.808,[{}]
2022,M02,February,283.716,[{}]
2022,M04,April,289.109,[{}]
2022,M06,June,296.311,[{}]
2022,M05,May,292.296,[{}]
2022,M12,December,296.797,[{}]
2022,M10,October,298.012,[{}]
2022,M03,March,287.504,[{}]
2022,M08,August,296.171,[{}]
2022,M07,July,296.276,[{}]
2022,M11,November,297.711,[{}]
2022,M01,January,281.148,[{}]
